City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Metrorrey, Nuevo Leon, Mexico",Mexico,25.7779954,-100.3775906,27.7,61.0,69.0,146.0,11.1,9.4,9.2,146,Poor,,,2026-07-09T02:34:46.553719
"S. Pedro, Nuevo Leon, Mexico",Mexico,25.6573447,-100.4017501,27.7,61.0,89.0,19.0,5.8,4.8,10.7,89,Moderate,,,2026-07-09T02:34:51.765927
"Oblatos, Jalisco, Mexico",Mexico,20.699048277777777,-103.29667683333334,22.0,73.0,82.0,40.0,13.7,2.7,0.4,82,Moderate,,,2026-07-09T02:35:00.556585
"Centro, Jalisco, Mexico",Mexico,20.67236666666667,-103.33335883333334,22.0,73.0,82.0,30.0,13.2,2.9,9.2,82,Moderate,,,2026-07-09T02:35:03.769825
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,22.0,73.0,80.0,30.0,18.5,2.1,9.4,80,Moderate,,,2026-07-09T02:35:07.103906
"T-21, Mexico",Mexico,21.108664,-101.688614,23.0,53.0,77.0,33.0,,2.9,10.4,77,Moderate,,,2026-07-09T02:35:10.559688
"Miravalle, Guadalajara, Mexico",Mexico,20.61504997567,-103.34343019128,22.0,73.0,76.0,35.0,12.1,1.2,6.9,76,Moderate,,,2026-07-09T02:35:13.772884
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,17.0,100.0,72.0,35.0,17.1,1.5,6.8,72,Moderate,,,2026-07-09T02:35:20.562047
"Obispado, Nuevo Leon, Mexico",Mexico,25.6745177,-100.3473334,8.8,49.5,60.0,67.0,2.9,4.8,5.9,67,Moderate,,,2026-07-09T02:35:25.781254
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,14.0,89.0,65.0,,14.2,3.1,7.7,65,Moderate,,,2026-07-09T02:35:29.563903
"Finanzas, Saltillo, Coahuila, Mexico",Mexico,25.421472222222,-100.99686111111,17.9,73.7,63.0,51.0,6.2,4.0,,63,Moderate,,,2026-07-09T02:35:36.783944
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-07-09T02:35:44.784911
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,28.0,78.0,9.0,,,,,-,,,,2026-07-09T02:35:51.312843
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-07-09T02:35:54.690298
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-07-09T02:35:58.398970
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,21.6,94.0,,,,,,-,,,,2026-07-09T02:36:03.317508
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-07-09T02:36:08.693605
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,19.0,59.0,70.0,,,16.1,16.7,70,Moderate,,,2026-07-09T02:36:44.557852
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,18.2,55.1,26.0,6.0,5.0,1.2,4.3,26,Good,,,2026-07-09T02:37:09.507931
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,15.6,61.0,25.0,14.0,3.0,0.4,5.1,25,Good,,,2026-07-09T02:37:12.688863
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,17.9,56.4,17.0,18.0,,,,18,Good,,,2026-07-09T02:37:17.509341
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,18.0,55.1,16.0,18.0,6.2,1.2,10.3,18,Good,,,2026-07-09T02:37:20.689862
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,15.6,61.0,17.0,5.0,3.1,0.3,2.9,17,Good,,,2026-07-09T02:37:23.892423
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,18.3,54.0,17.0,6.0,4.0,,3.9,17,Good,,,2026-07-09T02:37:27.513453
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,14.7,87.0,65.0,42.0,22.6,2.9,4.3,65,Moderate,,,2026-07-09T02:37:32.451873
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,14.89,87.0,58.0,42.0,29.4,2.7,10.0,58,Moderate,,,2026-07-09T02:37:35.896191
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,14.89,87.0,50.0,,33.0,2.3,7.2,50,Good,,,2026-07-09T02:37:39.515896
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,17.14,87.0,,,25.4,3.1,8.7,7,Good,,,2026-07-09T02:37:42.696883
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,18.72,30.0,56.0,,14.5,0.5,7.5,56,Moderate,,,2026-07-09T02:37:46.578866
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,,,2026-07-09T02:37:50.457885
